회사ID,15_매출액,16_매출액,17_매출액,18_매출액,19_매출액,15_총급여,16_총급여,17_총급여,18_총급여,19_총급여,최대_직원수
무신사,32930316.0,47231240.0,67721259.0,105012384.0,210312756.0,263193800.0,1942144088.8888888,2654599466.666666,4525253711.111112,9628194622.222223,370
쏘카,44800000.0,88240403.0,121086079.0,159424490.0,256671600.0,430776554.1111111,4543132798.444445,6871447270.222222,7893140090.666666,11400201903.11111,378
야놀자,29899218.0,33709355.0,54527868.0,73884856.0,151000000.0,696686783.1111112,6084360402.0,8544055601.333332,12648151292.0,25582355127.555557,768
에이프로젠,1823518.0,68032078.0,62178381.0,48100298.0,17857139.0,413217570.0,3049906290.2222223,4371791117.111112,4053739417.3333335,5061886513.333334,178
엘앤피코스메틱,188859253.0,396118457.0,315572296.0,314078749.0,178190156.0,554245533.3333333,5420621688.888888,7173542555.555555,8270212711.111112,9477636044.444445,252
옐로모바일,318200000.0,442800000.0,510500000.0,469900000.0,250700000.0,229675933.33333334,1480855400.0,5902299733.333333,2465383800.0,713422511.1111112,172
우아한형제들,49500000.0,84850263.0,162565237.0,311535460.0,561133434.0,13039914360.0,109058393631.11111,182914552744.44446,253342532115.55557,393029338644.44446,906
지피클럽,22474017.0,48329929.0,49755792.0,513728710.0,448642100.0,32848266.666666668,294878133.3333333,342283466.6666667,1012453444.4444445,3129809333.3333335,121
쿠팡,1133752000.0,1915941000.0,2681390000.0,4347684000.0,7140720000.0,32495526955.555557,182278889755.55557,190647686666.66666,212335513488.8889,290404055288.8889,9032
크래프톤,46400000.0,26519891.0,282680403.0,1069469987.0,12102432.0,1557654888.8888888,10172452844.444445,12858936377.777779,21344832755.555557,31702475666.66667,727
토스,99100.0,3439965.0,20591083.0,54820876.0,118730969.0,1511412620.0,15580366200.0,36795609204.44444,66082982413.333336,121524957171.11111,317
